sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,27,,良好,0.4,0.28,4.6,9.4,21,10,10.2,12.3,2,1.2,281,"2024/06/24 06:00:00",0.2,8.2,19,1,121.760056,25.129167,1
汐止,新北市,34,,良好,0.6,0.23,2.3,3.5,27,8,8.5,18.7,10.2,0.6,10,"2024/06/24 06:00:00",0.2,10.4,24,0,121.64081,25.06624,2
萬里,新北市,17,,良好,0.9,0.12,13.9,14.5,15,4,1.3,2.4,1,1.4,183,"2024/06/24 06:00:00",0.1,5.2,15,0,121.689881,25.179667,3
新店,新北市,37,,良好,0.4,0.15,9.6,11.5,24,11,3.6,4.7,1,1.8,191,"2024/06/24 06:00:00",0.1,11.5,22,0,121.537778,24.977222,4
土城,新北市,25,,良好,0.6,0.31,4,2.9,24,2,9.7,15.8,6,0.3,150,"2024/06/24 06:00:00",0.3,5.1,25,0,121.451861,24.982528,5
板橋,新北市,27,,良好,0.2,0.35,2.9,2.5,23,8,11.6,16.2,4.6,0.7,284,"2024/06/24 06:00:00",0.4,8.3,19,0,121.458667,25.012972,6
新莊,新北市,25,,良好,0.2,0.28,2.2,3.5,23,11,11.1,17.4,6.2,0.6,244,"2024/06/24 06:00:00",0.3,7.8,23,0,121.4325,25.037972,7
菜寮,新北市,25,,良好,0.7,0.26,6.8,9,22,8,7.7,9.2,1.5,0.3,144,"2024/06/24 06:00:00",0.2,7.7,20,0,121.481028,25.06895,8
林口,新北市,27,,良好,0.9,0.18,5.7,11.4,18,5,16.8,23.6,6.7,1.3,271,"2024/06/24 06:00:00",0.2,6.2,14,0,121.36548982,25.07798949,9
淡水,新北市,29,,良好,0.8,0.18,,6.1,21,10,7.9,9.4,1.5,,,"2024/06/24 06:00:00",0.2,9,18,1,121.449239,25.1645,10
士林,臺北市,31,,良好,0.7,0.18,4.4,4.1,24,12,6.5,8.3,1.7,0.5,92,"2024/06/24 06:00:00",0.2,9.6,20,0,121.51666356,25.10334003,11
中山,臺北市,32,,良好,1,0.19,8.5,7.7,25,11,4.1,5,0.8,0.7,240,"2024/06/24 06:00:00",0.2,9.8,20,1,121.526528,25.062361,12
萬華,臺北市,,,,,,,,,,,,,,,"2024/06/24 06:00:00",,,,,121.507972,25.046503,13
古亭,臺北市,29,,良好,0.3,0.16,6.6,8,25,11,4.4,6.2,1.7,0.6,166,"2024/06/24 06:00:00",0.1,9,21,0,121.529556,25.020608,14
松山,臺北市,28,,良好,0,0.19,7.7,5.7,21,9,6.2,7.5,1.2,0.7,247,"2024/06/24 06:00:00",0.2,8.7,22,0,121.578611,25.05,15
大同,臺北市,34,,良好,0.8,0.53,5.9,5.8,18,10,8.9,17.1,8.2,-,-,"2024/06/24 06:00:00",0.6,10.6,19,0,121.51342074,25.06331455,16
桃園,桃園市,19,,良好,0.6,0.22,5.4,6.9,24,6,10.7,12.4,1.7,0.6,212,"2024/06/24 06:00:00",0.2,5.3,19,1,121.30500531,24.9947107,17
大園,桃園市,16,,良好,0.6,0.15,9.4,11,16,6,8.1,9.5,1.4,1.8,195,"2024/06/24 06:00:00",0.1,5,14,0,121.20251473,25.06100357,18
觀音,桃園市,21,,良好,0.6,0.12,8.1,11.1,18,5,6.4,7.3,0.9,1.1,233,"2024/06/24 06:00:00",0,6.5,11,0,121.08283092,25.03556747,19
平鎮,桃園市,16,,良好,0.2,0.15,5.9,9.1,18,4,5.1,5.8,0.7,1.3,179,"2024/06/24 06:00:00",0.1,4,16,0,121.203986,24.952786,20
龍潭,桃園市,23,,良好,0.6,0.15,3.7,6.5,21,8,6.3,9.9,3.5,1.2,158,"2024/06/24 06:00:00",0.1,7,18,1,121.21645772,24.86400048,21
湖口,新竹縣,25,,良好,0.8,0.12,,11.6,9,9,8.2,10,1.8,0.8,175,"2024/06/24 06:00:00",0.1,7.8,11,0,121.03886894,24.90009696,22
竹東,新竹縣,21,,良好,0.4,0.13,3.7,3.7,24,8,2.8,4.2,1.3,0.8,156,"2024/06/24 06:00:00",0.1,6,21,0,121.08895493,24.74091408,23
新竹,新竹市,12,,良好,0.3,0.14,8.2,9.9,10,3,7.4,9.1,1.6,0.7,163,"2024/06/24 06:00:00",0.1,3.2,8,1,120.97236752,24.8056356,24
頭份,苗栗縣,16,,良好,0.8,0.14,6.8,10.2,19,4,4.7,6.4,1.7,0.4,119,"2024/06/24 06:00:00",0.1,4.9,14,1,120.89869286,24.69690679,25
苗栗,苗栗縣,17,,良好,1.1,0.08,18.8,18.5,9,5,2.8,3.9,1.1,3.5,189,"2024/06/24 06:00:00",0,3.8,7,1,120.82011468,24.56499183,26
三義,苗栗縣,17,,良好,0.9,0.1,15.2,18.2,9,4,1,1.7,0.6,2.2,181,"2024/06/24 06:00:00",0,3.8,7,1,120.75956754,24.38248443,27
豐原,臺中市,16,,良好,1,0.15,17.2,17,12,1,2.9,3.7,0.8,2.1,174,"2024/06/24 06:00:00",0.1,2,12,1,120.74252414,24.25699731,28
沙鹿,臺中市,12,,良好,0.9,0.13,13.1,13.3,10,6,6.3,7.6,1.2,2.1,168,"2024/06/24 06:00:00",0.1,3.2,11,0,120.568794,24.225628,29
大里,臺中市,11,,良好,0.9,0.16,8.6,12.4,13,2,6.7,7.5,0.8,0.8,100,"2024/06/24 06:00:00",0.1,2.3,7,1,120.67844444,24.09961111,30
忠明,臺中市,13,,良好,0.9,0.15,10.4,13.8,14,1,4.1,5.2,1,0.3,200,"2024/06/24 06:00:00",0.1,3.2,13,1,120.641092,24.151958,31
西屯,臺中市,14,,良好,0.9,0.12,10,13.3,15,5,5.6,6.4,0.7,1.2,185,"2024/06/24 06:00:00",0.1,4.3,13,1,120.616917,24.162197,32
彰化,彰化縣,13,,良好,2.1,0.12,12.3,14.8,11,0,5,6,1,0.8,182,"2024/06/24 06:00:00",0,1.7,13,0,120.541519,24.066,33
線西,彰化縣,13,,良好,1.1,0.13,10.7,12.6,18,3,6.7,7.7,1,1.6,167,"2024/06/24 06:00:00",0.1,2.5,13,1,120.469061,24.131672,34
二林,彰化縣,37,,良好,1,0.17,4.3,7.2,35,16,8.7,11.5,2.8,1.5,127,"2024/06/24 06:00:00",0.1,11.5,31,1,120.409653,23.925175,35
南投,南投縣,17,,良好,0.2,0.1,4.2,9.8,21,5,3.2,5.6,2.3,0.9,153,"2024/06/24 06:00:00",0,5.3,16,0,120.685306,23.913,36
斗六,雲林縣,19,,良好,1,0.12,7.2,9.4,22,4,4.2,5.6,1.3,0.2,110,"2024/06/24 06:00:00",0.1,6,18,1,120.544994,23.711853,37
崙背,雲林縣,27,,良好,0.9,0.15,6.5,6.9,18,8,5.5,6.9,1.3,0.8,187,"2024/06/24 06:00:00",0.1,8.4,16,0,120.348742,23.757547,38
